ID,Name,Age,averagePoints,averagePoints,Price,position,gamesPlayed,Drafted,Ignored,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Aaron Cadman,21,59.4,59.4,623000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Aaron Naughton,26,71.8,71.8,753000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Adam Cerra,26,95.1,95.1,997000,Mid,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Adam Saad,31,67,67,703000,Def,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Adam Sweid,18,0,0,254000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Adam Treloar,32,69.8,69.8,946000,Fwd,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Aidan Corr,31,54.9,54.9,576000,Def,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Aidan Johnson,25,30.8,30.8,275000,Fwd,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Aidan Schubert,18,0,0,262000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Aiden Riddle,20,0,0,230000,Ruck,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Alex Davies,23,63.2,63.2,611000,Mid,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Alex Dodson,19,22,22,230000,Fwd,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Alex Neal-Bullen,30,69.4,69.4,728000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Alex Pearce,30,45.9,45.9,482000,Def,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Aliir Aliir,31,57,57,597000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Alixzander Tauru,19,42.1,42.1,442000,Def,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Andrew Brayshaw,26,101,101,1060000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Andrew McGrath,27,75.3,75.3,786000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Andy Moniz-Wakefield,22,0,0,384000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Angus Anderson,22,0,0,230000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Angus Clarke,19,61.4,61.4,653000,Def,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Angus Hastie,20,37.2,37.2,379000,Def,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Angus Sheldrick,22,62.1,62.1,651000,Mid,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Anthony Caminiti,22,53.8,53.8,564000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Archer Day-Wicks,19,33,33,294000,Fwd,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Archer May,21,51.3,51.3,490000,Fwd,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Archer Reid,20,35.7,35.7,375000,Fwd,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Archie Ludowyke,18,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Archie Perkins,23,57.5,57.5,597000,Fwd,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Archie Roberts,20,85.2,85.2,901000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Arthur Jones,22,20,20,327000,Fwd,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Asher Eastham,19,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Ashton Moir,20,41.9,41.9,426000,Fwd,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Avery Thomas,18,0,0,242000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Bailey Banfield,27,53,53,556000,Def,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bailey Dale,29,92,92,965000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Bailey Humphrey,21,68.7,68.7,717000,Fwd,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Bailey J. Williams,25,52.6,52.6,552000,Fwd,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Bailey Laurie,23,12,12,274000,Fwd,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Bailey Macdonald,21,18.8,18.8,230000,Def,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Bailey Scott,25,44.7,44.7,469000,Mid,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bailey Smith,25,116.3,116.3,1220000,Mid,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Bailey Williams,28,76.8,76.8,805000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Bayley Fritsch,29,63.4,63.4,665000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Beau Addinsall,18,0,0,282000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Beau McCreery,24,54.2,54.2,568000,Fwd,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Ben Ainsworth,28,57.6,57.6,615000,Fwd,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Ben Camporeale,19,0,0,230000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Ben Jepson,24,38,38,291000,Mid,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Ben Keays,29,79.3,79.3,831000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ben King,25,48.7,48.7,528000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Ben Long,28,62.4,62.4,652000,Fwd,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ben McKay,28,39,39,409000,Def,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Ben Miller,26,57.8,57.8,607000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Ben Murphy,19,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Benny Barrett,19,0,0,230000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Billy Cootee,23,0,0,230000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Billy Dowling,21,53,53,522000,Fwd,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Billy Frampton,29,42.4,42.4,445000,Def,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Billy Wilson,20,49,49,421000,Def,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Blake Acres,30,73.7,73.7,773000,Mid,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Blake Hardwick,29,62.7,62.7,658000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Blake Howes,22,43.8,43.8,459000,Def,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Blake Thredgold,18,0,0,250000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Bo Allan,20,26.7,26.7,246000,Def,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Bobby Hill,26,46.1,46.1,483000,Fwd,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Bodhi Uwland,22,62.9,62.9,662000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Bodie Ryan,20,0,0,230000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Brad Close,27,54,54,566000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Bradley Hill,32,74.5,74.5,782000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Brady Hough,22,64.1,64.1,673000,Def,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Braeden Campbell,24,56.6,56.6,594000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Brandon Starcevich,26,45.7,45.7,479000,Def,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Brandon Walker,23,34,34,439000,Def,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Brandon Zerk-Thatcher,27,47.3,47.3,496000,Def,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Brayden Cook,23,30,30,344000,Fwd,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Brayden Fiorini,28,87.2,87.2,900000,Mid,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Brayden George,22,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Brayden Maynard,29,66.4,66.4,696000,Def,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Brennan Cox,27,44.4,44.4,466000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Brent Daniels,26,47.7,47.7,793000,Fwd,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Brodie Grundy,31,107,107,1122000,Ruck,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Brodie Kemp,24,47.6,47.6,594000,Fwd,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Brody Mihocek,33,58.7,58.7,616000,Fwd,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Brucke Reville,25,43.9,43.9,461000,Mid,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Buku Khamis,25,47.7,47.7,501000,Fwd,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Caiden Cleary,20,47.2,47.2,495000,Fwd,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Caleb Daniel,29,85,85,892000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Caleb Graham,25,0,0,238000,Def,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Caleb Lewis,22,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Caleb Serong,25,92.4,92.4,970000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Caleb Windsor,20,53.9,53.9,565000,Def,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Callum Ah Chee,28,62.5,62.5,656000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Callum Coleman-Jones,26,3,3,607000,Ruck,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Callum M. Brown,25,57.9,57.9,230000,Fwd,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Callum Mills,28,90,90,944000,Def,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Callum Wilkie,29,80.7,80.7,846000,Def,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Calsher Dear,20,42.9,42.9,427000,Fwd,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Cam Mackenzie,22,62.5,62.5,656000,Mid,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Cam Rayner,26,70.1,70.1,736000,Fwd,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Cameron Nairn,18,0,0,274000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Cameron Zurhaar,27,57.6,57.6,605000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Campbell Chesser,22,64.5,64.5,555000,Mid,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Campbell Gray,23,44.7,44.7,370000,Def,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chad Warner,24,88.1,88.1,924000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Changkuoth Jiath,26,53.6,53.6,563000,Def,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Charlie Ballard,26,30,30,384000,Def,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Charlie Banfield,18,0,0,230000,Fwd,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Charlie Cameron,31,53.3,53.3,559000,Fwd,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Charlie Comben,24,47.7,47.7,500000,Def,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Charlie Curnow,29,65.8,65.8,690000,Fwd,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
