ID,Name,Age,Average,Predicted,Price,Position,Games,Drafted,Ignored
0,Nick Daicos,21,104.7,104.7,1074000,mid,23,0,0
1,Rowan Marshall,29,117.1,117.1,1201000,ruck,23,0,0
2,Tristan Xerri,25,114.5,114.5,1175000,ruck,23,0,0
3,Luke Ryan,28,102.1,102.1,1048000,def,23,0,0
4,Lachie Whitfield,30,111.7,111.7,1146000,def,23,0,0
5,Andrew Brayshaw,25,104.6,104.6,1073000,mid,23,0,0
6,Tom Green,23,99.9,99.9,1025000,mid,23,0,0
7,Sam Walsh,24,106.1,106.1,1089000,mid,19,0,0
8,Errol Gulden,22,108.5,108.5,1113000,mid,23,0,0
9,Nic Newman,31,102.6,102.6,1052000,def,23,0,0
10,Noah Anderson,23,103.9,103.9,1067000,mid,23,0,0
11,Max Gawn,33,111.8,111.8,1147000,ruck,21,0,0
12,Harry Sheezel,20,112.1,112.1,1151000,def,21,0,0
13,Dayne Zorko,35,110.3,110.3,1131000,def,23,0,0
14,Patrick Cripps,29,100,100,1026000,mid,23,0,0
15,Jack Steele,29,106.6,106.6,1094000,mid,23,0,0
16,Zach Merrett,29,108.8,108.8,1116000,mid,23,0,0
17,Adam Treloar,31,110,110,1129000,mid,22,0,0
18,Nic Martin,23,107.2,107.2,1100000,def,23,0,0
19,Josh Dunkley,27,107.4,107.4,1102000,mid,23,0,0
20,Nasiah Wanganeen-Milera,21,97.7,97.7,1003000,def,22,0,0
21,Matt Crouch,29,101.9,101.9,1046000,mid,15,0,0
22,Jai Newcombe,23,85.8,85.8,880000,mid,23,0,0
23,Jordan Dawson,27,105.3,105.3,1080000,mid,22,0,0
24,Matt Rowell,23,93.7,93.7,962000,mid,23,0,0
25,Caleb Serong,23,103.9,103.9,1067000,mid,23,0,0
26,Lachie Neale,31,101,101,1038000,mid,22,0,0
27,Colby McKercher,19,82.3,82.3,845000,def,16,0,0
28,Tim Taranto,26,95.5,95.5,980000,mid,15,0,0
29,Reilly O'Brien,29,91,91,934000,ruck,21,0,0
30,Brodie Grundy,30,97.1,97.1,997000,ruck,23,0,0
31,Zak Butters,24,106.1,106.1,1089000,mid,23,0,0
32,Marcus Bontempelli,29,107.3,107.3,1101000,mid,23,0,0
33,Tom Mitchell,31,77.8,77.8,829000,mid,6,0,0
34,Josh Daicos,26,94.8,94.8,973000,mid,23,0,0
35,Jack Sinclair,29,101.9,101.9,1046000,def,22,0,0
36,Luke Davies-Uniacke,25,95.9,95.9,984000,mid,23,0,0
37,Toby Nankervis,30,100.6,100.6,1032000,ruck,21,0,0
38,Tim English,27,104.6,104.6,1074000,ruck,22,0,0
39,Sam Flanders,23,107.8,107.8,1106000,def,22,0,0
40,Oscar McInerney,30,85.6,85.6,879000,ruck,22,0,0
41,Rory Laird,31,99.3,99.3,1019000,mid,23,0,0
42,Jarrod Witts,32,96.3,96.3,988000,ruck,16,0,0
43,George Hewett,29,83,83,852000,mid,21,0,0
44,Lloyd Meek,26,88.4,88.4,907000,ruck,19,0,0
45,Hugh McCluggage,26,97.3,97.3,999000,mid,23,0,0
46,Isaac Heeney,28,105.2,105.2,1079000,mid,21,0,0
47,Jayden Short,28,80.5,80.5,825000,def,22,0,0
48,Touk Miller,28,93.1,93.1,955000,mid,18,0,0
49,Darcy Parish,27,91.6,91.6,940000,mid,12,0,0
50,James Rowbottom,24,84.7,84.7,869000,mid,21,0,0
51,Jordan Ridley,26,88.4,88.4,880000,def,9,0,0
52,Jordon Sweet,26,81.7,81.7,838000,ruck,14,0,0
53,Jye Caldwell,24,94.3,94.3,969000,mid,23,0,0
54,Ollie Wines,30,90.8,90.8,930000,mid,22,0,0
55,Chad Warner,23,93.7,93.7,961000,mid,22,0,0
56,Tom Stewart,31,87.6,87.6,899000,def,22,0,0
57,Jack Viney,30,87.4,87.4,897000,mid,23,0,0
58,Jordan Clark,24,96.9,96.9,994000,def,23,0,0
59,Dan Houston,27,94,94,964000,def,22,0,0
60,Christian Petracca,28,90.2,90.2,923000,mid,13,0,0
61,Connor Rozee,24,97.1,97.1,996000,mid,20,0,0
62,Bailey Dale,28,92.6,92.6,950000,def,23,0,0
63,Will Ashcroft,20,84.7,84.7,843000,mid,9,0,0
64,Clayton Oliver,27,77.7,77.7,797000,mid,21,0,0
65,Hayden Young,23,92.9,92.9,953000,mid,23,0,0
66,Josh Kelly,29,95.2,95.2,977000,mid,15,0,0
67,Lachlan Sholl,24,85.3,85.3,875000,mid,20,0,0
68,Elliot Yeo,31,90.9,90.9,933000,mid,20,0,0
69,Mason Redman,27,83.9,83.9,860000,def,21,0,0
70,Tim Kelly,30,85.9,85.9,881000,mid,20,0,0
71,Max Holmes,22,94.5,94.5,969000,def,23,0,0
72,Liam Duggan,28,88.7,88.7,910000,def,21,0,0
73,Zac Fisher,26,82.4,82.4,846000,def,18,0,0
74,Massimo D'Ambrosio,21,77.8,77.8,798000,mid,22,0,0
75,Kieren Briggs,25,91.5,91.5,938000,ruck,22,0,0
76,Tom Liberatore,32,87.5,87.5,898000,mid,17,0,0
77,Will Setterfield,26,99,99,833000,mid,4,0,0
78,Sam Docherty,31,48,48,782000,mid,1,0,0
79,Nick Vlastuin,30,81.5,81.5,836000,def,22,0,0
80,Will Brodie,26,0,0,481000,mid,0,0,0
81,Karl Amon,29,87,87,892000,def,23,0,0
82,Jacob Hopper,27,82.5,82.5,846000,mid,12,0,0
83,Jake Lloyd,31,75.9,75.9,779000,def,23,0,0
84,Dylan Moore,25,92,92,944000,fwd,23,0,0
85,James Sicily,29,87.4,87.4,896000,def,20,0,0
86,Darcy Cameron,29,96.2,96.2,987000,ruck,23,0,0
87,Sean Darcy,26,77.8,77.8,798000,ruck,12,0,0
88,Matt Roberts,21,76.1,76.1,780000,def,20,0,0
89,James Worpel,25,77.6,77.6,796000,mid,23,0,0
90,Willem Drew,26,85.3,85.3,876000,mid,23,0,0
91,Blake Acres,29,88.6,88.6,909000,mid,22,0,0
92,Jarrod Berry,26,84.5,84.5,865000,mid,23,0,0
93,Bailey Scott,24,80,80,821000,mid,23,0,0
94,Ed Langdon,28,79.3,79.3,814000,mid,22,0,0
95,Andrew McGrath,26,84.2,84.2,864000,def,23,0,0
96,Daniel Rioli,27,83.5,83.5,857000,def,23,0,0
97,Finn Callaghan,21,76.9,76.9,789000,mid,22,0,0
98,Will Day,23,74.1,74.1,760000,mid,16,0,0
99,Jason Horne-Francis,21,89.5,89.5,919000,fwd,21,0,0
100,Jack Crisp,31,83.1,83.1,852000,mid,23,0,0
101,Ed Richards,25,86,86,882000,mid,20,0,0
102,Jesse Hogan,29,76.8,76.8,788000,fwd,23,0,0
103,Christian Salem,29,80.3,80.3,824000,def,17,0,0
104,Stephen Coniglio,31,76.9,76.9,789000,mid,13,0,0
105,Dion Prestia,32,72.4,72.4,743000,mid,13,0,0
106,Jy Simpkin,26,76.2,76.2,781000,fwd,18,0,0
107,Steele Sidebottom,33,73,73,749000,mid,22,0,0
108,Jeremy Cameron,31,84,84,862000,fwd,22,0,0
109,Sam Durham,23,83,83,851000,mid,22,0,0
110,George Wardlaw,20,78.2,78.2,803000,mid,18,0,0
111,Dylan Shiel,31,77.2,77.2,769000,mid,9,0,0
112,Nick Blakey,24,82,82,841000,def,23,0,0
113,Ned Moyle,22,77.6,77.6,749000,ruck,8,0,0
114,Bailey Smith,24,0,0,598000,fwd,0,0,0
115,Jack Bowes,26,78.5,78.5,805000,mid,20,0,0
116,Charlie Curnow,27,73.9,73.9,758000,fwd,21,0,0
117,Jake Soligo,21,76.9,76.9,789000,mid,23,0,0
118,Matthew Kennedy,27,77.1,77.1,791000,fwd,23,0,0
119,Alex Neal-Bullen,28,79,79,811000,fwd,23,0,0
120,Xavier Duursma,24,81.8,81.8,839000,mid,15,0,0
121,Trent Rivers,23,82,82,841000,def,23,0,0
122,Jeremy Sharp,23,73,73,749000,mid,23,0,0
123,Adam Cerra,25,72.6,72.6,745000,mid,12,0,0
124,Zach Guthrie,26,75,75,770000,def,23,0,0
125,Scott Pendlebury,36,79.2,79.2,812000,mid,20,0,0
126,Lawson Humphries,21,70.9,70.9,706000,def,9,0,0
127,Lachie Ash,23,77.4,77.4,794000,def,17,0,0
128,Jordan De Goey,28,79.8,79.8,819000,mid,13,0,0
